,Station ID,AQI index,Location,Station name,Url,Dominent pollutant,CO,Dew,Humidity,NO2,O3,Pressure,PM10,PM2.5,SO2,Temperature,Wind,Data Time S,Data Time Tz,Status,Alert level,Month
430,1584,110.80975609756098,"16.074,108.217","Da Nang, Vietnam (TP Đà Nẵng)",https://aqicn.org/city/vietnam/da-nang,pm25,4.0,18.0,63.0,1.0,36.0,1021.0,66.0390243902439,107.60487804878049,6.0,25.5,5.4,2021-02-18 13:00:00,+07:00,Unhealthy for Sensitive Group,3,2
431,1585,110.80975609756098,"12.284358,109.192524","Nha Trang, Vietnam",https://aqicn.org/city/vietnam/nha-trang,pm25,2.0,18.0,54.0,3.0,38.0,1018.0,66.0390243902439,107.60487804878049,4.0,28.0,10.2,2021-02-18 13:00:00,+07:00,Unhealthy for Sensitive Group,3,2
432,13017,114.0,"21.02022,105.81232","Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",https://aqicn.org/city/vietnam/ha-noi/toa-nha-quan-ly-ho-thanh-cong,pm25,13.0,13.0,60.0,20.0,6.90390243902439,1024.5,77.0,114.0,5.628780487804878,21.0,2.8,2021-02-18 12:00:00,+07:00,Unhealthy for Sensitive Group,3,2
433,13020,84.0,"21.00577,105.74842","Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.tay-mo--nam-tu-liem,pm25,6.0,12.0,53.0,8.0,6.90390243902439,1023.5,51.0,84.0,5.628780487804878,22.0,2.3,2021-02-18 13:00:00,+07:00,Moderate,2,2
434,13013,124.0,"21.05121,105.78232","Hà Nội/36A Phạm Văn Đồng, Vietnam",https://aqicn.org/city/vietnam/ha-noi/36a-pham-van-dong,pm25,20.0,12.0,53.0,23.0,6.90390243902439,1023.5,86.0,124.0,5.628780487804878,22.0,2.3,2021-02-18 13:00:00,+07:00,Unhealthy for Sensitive Group,3,2
435,13014,105.0,"21.0072,105.83572","Hà Nội/Mầm non Kim Liên, Vietnam",https://aqicn.org/city/vietnam/ha-noi/mam-non-kim-lien,pm25,7.0,12.0,53.0,14.952682926829269,6.90390243902439,1023.5,57.0,105.0,5.628780487804878,22.0,2.3,2021-02-18 13:00:00,+07:00,Unhealthy for Sensitive Group,3,2
436,13252,81.0,"22.6782,106.245","Cao Bằng/Trạm khí TTQT, Vietnam",http://cem.gov.vn/,pm10,8.866341463414633,14.7,94.4,14.952682926829269,2.0,995.8,81.0,78.0,5.628780487804878,15.6,1.0,2021-02-18 09:00:00,+07:00,Moderate,2,2
437,8767,80.0,"10.782978,106.700711","Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",https://aqicn.org/city/vietnam/ho-chi-minh-city/us-consulate,pm25,8.866341463414633,19.5,65.0,14.952682926829269,6.90390243902439,1012.0,66.0390243902439,80.0,5.628780487804878,26.5,3.3,2021-02-20 20:00:00,+07:00,Moderate,2,2
438,8688,125.0,"21.0811211,105.8180306","United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",https://aqicn.org/city/vietnam/hanoi/unis,pm25,8.866341463414633,13.0,53.0,14.952682926829269,6.90390243902439,1017.0,66.0390243902439,107.60487804878049,5.628780487804878,23.0,2.5,2021-02-20 20:00:00,+07:00,Unhealthy for Sensitive Group,3,2
439,8641,165.0,"21.0215063,105.8188748","Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",https://aqicn.org/city/vietnam/hanoi/us-embassy,pm25,0.1,13.0,53.0,5.1,11.8,1017.0,66.0390243902439,165.0,5.6,23.0,4.1,2021-02-20 20:00:00,+07:00,Unhealthy,4,2
